PID_AreaMSOA,HID_AreaOA,Area_MSOA,Area_OA,Sex,Age,Ethnic,Marital_status,Children_dependency,Economic_activity,Occupation,Income,Driving_license,Car_access,Bike_access,weight
969_E02001682,80737_E00041816,E02001682,E00041816,1,21,2,Single,FALSE,Employed,6,11310,TRUE,FALSE,TRUE,66
899_E02001682,59166_E00041818,E02001682,E00041818,1,20,2,Single,FALSE,Employed,4,8410,TRUE,TRUE,FALSE,61
2856_E02001682,76146_E00041822,E02001682,E00041822,1,58,2,Married,FALSE,Employed,8,27950,TRUE,FALSE,FALSE,70
5400_E02001682,124_E00041822,E02001682,E00041822,2,31,2,Married,FALSE,Employed,2,25970,TRUE,TRUE,TRUE,62
778_E02001682,66807_E00041831,E02001682,E00041831,1,17,2,Single,FALSE,Unemployed,2,10040,FALSE,FALSE,TRUE,60
1019_E02001682,11977_E00041836,E02001682,E00041836,1,22,2,Single,FALSE,Employed,7,9900,TRUE,TRUE,FALSE,65
5017_E02001682,93380_E00041836,E02001682,E00041836,2,21,2,Single,FALSE,Employed,6,15420,FALSE,FALSE,TRUE,55
951_E02001682,75219_E00041837,E02001682,E00041837,1,21,2,Single,FALSE,Employed,2,30520,TRUE,TRUE,TRUE,61
1094_E02001682,24392_E00041839,E02001682,E00041839,1,24,2,Single,FALSE,Employed,5,32270,TRUE,TRUE,FALSE,117
6191_E02001682,15660_E00041839,E02001682,E00041839,2,46,2,Single,FALSE,Employed,3,38720,TRUE,FALSE,TRUE,77
10640_E02001683,60159_E00041538,E02001683,E00041538,1,45,2,Single,FALSE,Employed,2,36100,TRUE,TRUE,FALSE,54
9553_E02001683,39923_E00041539,E02001683,E00041539,1,23,2,Single,FALSE,Employed,6,9780,FALSE,FALSE,TRUE,54
9295_E02001683,91050_E00041540,E02001683,E00041540,1,18,2,Single,FALSE,Employed,8,15600,FALSE,FALSE,FALSE,78
9308_E02001683,10983_E00041542,E02001683,E00041542,1,18,2,Single,FALSE,Employed,5,19580,FALSE,FALSE,TRUE,53
13693_E02001683,10983_E00041542,E02001683,E00041542,2,19,2,Single,FALSE,Employed,6,6350,FALSE,FALSE,FALSE,54
10379_E02001683,4965_E00041844,E02001683,E00041844,1,40,2,Married,TRUE,Employed,3,53860,TRUE,TRUE,FALSE,53
18377_E02001684,61784_E00041636,E02001684,E00041636,1,24,2,Single,FALSE,Employed,1,43700,FALSE,FALSE,FALSE,63
22121_E02001684,61700_E00041636,E02001684,E00041636,2,32,2,Single,TRUE,Employed,2,23400,TRUE,TRUE,TRUE,54
18198_E02001684,40386_E00041645,E02001684,E00041645,1,21,2,Single,FALSE,Unemployed,7,5470,TRUE,FALSE,TRUE,60
21484_E02001684,40386_E00041645,E02001684,E00041645,2,21,2,Single,FALSE,Employed,9,1770,FALSE,FALSE,FALSE,53
18209_E02001684,55944_E00041649,E02001684,E00041649,1,21,2,Single,FALSE,Employed,4,7220,FALSE,FALSE,FALSE,70
18212_E02001684,94003_E00041809,E02001684,E00041809,1,21,2,Single,FALSE,Employed,2,11440,TRUE,FALSE,TRUE,85
19062_E02001684,94258_E00166214,E02001684,E00166214,1,37,2,Single,TRUE,Employed,5,35510,TRUE,TRUE,TRUE,71
22390_E02001684,39028_E00166214,E02001684,E00166214,2,38,2,Single,TRUE,Employed,2,22830,TRUE,TRUE,FALSE,64
25278_E02001685,90511_E00041447,E02001685,E00041447,1,21,2,Single,FALSE,Employed,6,7700,TRUE,TRUE,TRUE,66
29568_E02001685,90511_E00041447,E02001685,E00041447,2,27,2,Single,FALSE,Employed,2,19050,FALSE,FALSE,FALSE,55
26767_E02001685,83544_E00041448,E02001685,E00041448,1,48,2,Single,TRUE,Employed,3,54770,TRUE,TRUE,TRUE,59
29143_E02001685,49967_E00041448,E02001685,E00041448,2,19,2,Single,FALSE,Employed,6,14230,FALSE,FALSE,TRUE,52
27599_E02001685,33497_E00041453,E02001685,E00041453,1,67,2,Single,TRUE,Employed,5,20070,TRUE,TRUE,FALSE,58
29920_E02001685,84454_E00041453,E02001685,E00041453,2,32,2,Single,FALSE,Employed,2,45750,TRUE,TRUE,TRUE,53
